#,Name,Release,Peak Users,Positive,Negative,Total,Rating
189,The Last Clockwinder,6/2/2022,64,439,10,449,0.9018
190,McPixel 3,11/14/2022,99,597,19,616,0.9013
191,Atelier Sophie 2: The Alchemist of the Mysterious Dream,2/25/2022,3622,1701,93,1794,0.9012
192,Captain of Industry,5/31/2022,6135,3784,255,4039,0.901
193,Ever Seen A Cat? 2,5/30/2022,20,331,5,336,0.901
194,Hatsune Miku: Project DIVA Mega Mix+,5/26/2022,2730,10518,842,11360,0.9003
195,Ex-Zodiac,7/21/2022,90,497,14,511,0.9003
196,Priest Simulator,10/6/2022,238,564,18,582,0.9001
197,TUNIC,3/16/2022,2501,8839,699,9538,0.8997
198,Potion Craft: Alchemist Simulator,12/13/2022,10161,20423,1776,22199,0.8993
199,Nightmare Reaper,3/28/2022,1159,2909,193,3102,0.8989
200,Ravenous Devils,4/29/2022,2415,5790,437,6227,0.8988
201,Mosaique Neko Waifus 5,10/26/2022,138,892,40,932,0.8987
202,DRAINUS,5/22/2022,194,656,25,681,0.8983
203,Robin Morningwood Adventure,9/30/2022,140,492,15,507,0.8983
204,LEGO® Star Wars™: The Skywalker Saga,4/5/2022,82517,35674,3293,38967,0.8982
205,IronWolf VR,4/12/2022,45,1012,49,1061,0.8981
206,梦魇：无归 Nightmare without return,9/30/2022,300,556,19,575,0.898
207,Growing My Grandpa!,7/12/2022,25,264,3,267,0.8979
208,Quaver,8/19/2022,891,11597,976,12573,0.8977
209,Little Noah: Scion of Paradise,6/28/2022,1478,1389,77,1466,0.8976
210,Hana no No ni Saku Utakata no,4/22/2022,238,415,11,426,0.8976
211,Choice of Life: Middle Ages 2,9/30/2022,261,481,15,496,0.8973
212,Pulling No Punches,8/10/2022,122,445,13,458,0.8971
213,Kena: Bridge of Spirits,9/27/2022,2643,8956,739,9695,0.897
214,Monument Valley 2,7/12/2022,105,1076,55,1131,0.897
215,东方秘剑录,2/14/2022,55,653,26,679,0.8969
216,旅行こいし: デスクトップ少女 ~ Koishi Navigation Desktop Youkai,8/2/2022,482,638,25,663,0.8969
217,The Testing Chamber,3/28/2022,23,493,16,509,0.8968
218,I'm on Observation Duty 5,5/13/2022,244,538,19,557,0.8965
219,JellyCar Worlds,12/8/2022,97,439,13,452,0.8965
220,Rogue: Genesia,9/19/2022,5178,4275,320,4595,0.8964
221,CaseCracker,12/19/2022,638,1973,125,2098,0.8964
222,Core Keeper,3/8/2022,34508,23984,2207,26191,0.8963
223,Tag: The Power of Paint,4/18/2022,77,567,21,588,0.8962
224,ナツノカナタ,8/17/2022,296,703,30,733,0.8961
225,Depersonalization,12/20/2022,3044,2984,211,3195,0.8957
226,Last Call BBS,8/3/2022,770,855,41,896,0.8956
227,Instruments of Destruction,3/2/2022,335,782,36,818,0.8955
228,Freshly Frosted,6/10/2022,43,247,3,250,0.8955
229,Tree Simulator 2023,4/1/2022,160,599,24,623,0.895
230,Return to Monkey Island,9/19/2022,15539,6936,573,7509,0.8948
231,Shattered Pixel Dungeon,3/23/2022,336,864,43,907,0.8943
232,SuperTux,1/12/2022,82,707,32,739,0.8942
233,Ninja Village,5/23/2022,254,258,4,262,0.8942
234,Owinka Shooter,7/23/2022,44,643,28,671,0.8937
235,A=B,3/29/2022,280,554,22,576,0.8937
236,Hidden Cats in London,12/16/2022,16,215,2,217,0.8937
237,Football Coach: College Dynasty,12/12/2022,220,379,11,390,0.8936
238,Choo-Choo Charles,12/9/2022,4058,10906,972,11878,0.8934
239,Soda Crisis,5/24/2022,1631,2456,174,2630,0.8933
240,Lucy Dreaming,10/18/2022,49,233,3,236,0.8933
241,Vault of the Void,10/4/2022,1003,2097,144,2241,0.893
242,Touch Some Grass,4/11/2022,423,606,26,632,0.893
243,Trapped with Jester,10/10/2022,34,688,32,720,0.8927
244,FAR: Changing Tides,3/1/2022,989,2873,213,3086,0.8926
245,Charlie in the MoistVerse of Madness,3/11/2022,63,338,9,347,0.8926
246,Beeny,10/15/2022,11,267,5,272,0.8926
247,Ten Trials of Babel: The Doppelganger Maze,3/14/2022,642,2989,225,3214,0.8922
248,Please Be Happy,11/21/2022,72,206,2,208,0.8922
249,DOUKYUUSEI,4/15/2022,1325,1263,77,1340,0.8919
250,Escape Dungeon 2,1/14/2022,868,1250,76,1326,0.8919
